ID,collaboration,group,gender,graduate,points,NK1_pre,NK2_pre,NK3_pre,NK_avg_pre,SK1_pre,SK2_pre,SK3_pre,SK_avg_pre,PK1_pre,PK2_pre,PK3_pre,PK_avg_pre,AK1_pre,AK2_pre,AK3_pre,AK_avg_pre,TK1_pre,TK2_pre,TK3_pre,TK_avg_pre,NK1_post,NK2_post,NK3_post,NK_avg_post,SK1_post,SK2_post,SK3_post,SK_avg_post,PK1_post,PK2_post,PK3_post,PK_avg_post,AK1_post,AK2_post,AK3_post,AK_avg_post,TK1_post,TK2_post,TK3_post,TK_avg_post,NK_diff,SK_diff,PK_diff,AK_diff,TK_diff,A1,A2,R1,R2,C1,C2,S1,S2,ARCS_avg,PR1,PR2,PR3,PR4,PR5,PR6,PR_avg,TS1,TS2,TS3,TS4,TS5,TS6,TS_avg,PR_TS_avg,TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK_avg
62,0,0,0,0,17,1,0,0,0.33,1,0,1,0.67,0,0,0,0.22,1,0,0,0.33,0,0,0,0,1,1,1,1,0,1,0,0.33,1,0,1,0.67,1,1,1,1,1,1,1,1,0.67,-0.33,0.44,0.67,1,5,5,5,4,4,4,5,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,
63,0,0,0,0,17,1,0,1,0.67,1,1,1,1,1,1,1,1,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0,0,0.33,0.33,4,5,3,4,3,4,4,3,3.75,,,,,,,,,,,,,,,,,,,,,,,,
64,0,0,0,0,13,1,0,0,0.33,1,1,1,1,1,1,1,1,1,0,0,0.33,0,0,1,0.33,1,1,0,0.67,1,1,1,1,1,0,0,0.33,1,1,1,1,1,1,1,1,0.33,0,-0.67,0.67,0.67,5,5,5,4,4,4,4,4,4.38,,,,,,,,,,,,,,,,,,,,,,,,
65,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0.33,0,0,0,0,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0,0.67,1,0,0.67,4,3,4,3,3,4,3,3,3.38,,,,,,,,,,,,,,,,,,,,,,,,
66,0,0,1,0,17,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,0,0,0.33,0,0,0,0,1,1,0,0.67,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0,0,0,0.67,1,5,5,5,4,4,4,4,4,4.38,,,,,,,,,,,,,,,,,,,,,,,,
67,0,0,1,0,6,0,0,0,0,1,0,1,0.67,1,0,0,0.22,1,1,0,0.67,1,1,1,1,1,1,0,0.67,0,0,1,0.33,1,0,0,0.33,1,0,1,0.67,1,1,1,1,0.67,-0.33,0.11,0,0,5,5,4,5,4,4,5,3,4.38,,,,,,,,,,,,,,,,,,,,,,,,
68,0,0,1,0,15,1,1,0,0.67,1,1,0,0.67,1,0,1,0.56,1,1,0,0.67,1,1,0,0.67,0,1,0,0.33,1,1,1,1,1,1,1,1,1,1,0,0.67,1,1,1,1,-0.33,0.33,0.44,0,0.33,4,5,5,3,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
69,0,0,0,0,20,1,1,0,0.67,0,1,1,0.67,1,0,1,0.56,1,1,1,1,1,1,0,0.67,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.44,0,0.33,5,5,4,4,4,4,5,4,4.38,,,,,,,,,,,,,,,,,,,,,,,,
70,0,0,0,0,17,0,1,0,0.33,0,1,0,0.33,1,0,1,0.44,1,0,0,0.33,0,0,1,0.33,1,1,1,1,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0.67,0.67,0.22,0.67,0.67,4,5,4,4,4,4,5,3,4.13,,,,,,,,,,,,,,,,,,,,,,,,
71,0,0,0,0,18,0,1,0,0.33,0,1,0,0.33,1,0,1,0.44,1,0,0,0.33,1,0,0,0.33,0,1,0,0.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.67,0.56,0.67,0.67,5,4,3,3,4,3,4,4,3.75,,,,,,,,,,,,,,,,,,,,,,,,
72,0,0,1,1,17,0,1,0,0.33,1,0,1,0.67,1,1,1,0.89,1,1,0,0.67,0,1,1,0.67,1,1,0,0.67,1,1,0,0.67,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0,0.11,0.33,0.33,5,5,5,5,3,4,4,3,4.25,,,,,,,,,,,,,,,,,,,,,,,,
73,0,0,0,0,14,0,0,0,0,1,1,1,1,0,0,1,0.67,1,0,1,0.67,0,1,0,0.33,0,1,0,0.33,1,1,1,1,1,0,1,0.67,1,1,1,1,1,1,1,1,0.33,0,0,0.33,0.67,4,5,2,3,4,4,4,4,3.75,,,,,,,,,,,,,,,,,,,,,,,,
